cal_date,open,high,low,close,volume,mkt_cap
2016-09-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-09-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-09-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-09-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-09-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-09-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-10-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-11-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2016-12-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-01-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-02-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-03-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-04-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-05-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-06-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-07-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-08-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-09-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-10-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-11-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2017-12-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-01-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-02-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-03-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-26,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-04-27,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-02,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-03,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-09,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-10,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-16,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-17,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-18,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-21,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-22,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-23,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-24,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-25,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-28,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-29,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-30,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-05-31,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-01,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-04,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-05,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-06,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-07,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-08,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-11,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-12,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-13,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-14,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-15,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-19,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-20,80.01,80.21,59.54,61.11,1233876.85,0.0
2018-06-21,80.01,80.21,59.54,61.11,1233876.85,0.0
